Company ID,Companies,Last Financing Valuation,First Financing Date,First Financing Size,First Financing Valuation,First Financing Deal Type,First Financing Deal Type 2,First Financing Deal Type 3,First Financing Deal Class,Active Investors,Ownership Status,Primary Industry Code,Last Financing Date,Last Financing Size,Last Financing Deal Type,Primary Contact,Company Financing Status,Year Founded,HQ Location,Website,Description,PitchBook Link
502818-40,0xAdventure,,01-May-2022,,,Early Stage VC,,,Corporate,zVentures,Privately Held (backing),Other Financial Services,01-May-2022,,Early Stage VC,Simo Vukmirica,Venture Capital-Backed,2020,"Los Angeles, CA",0xadventure.org,"Developer of a fundamental financial infrastructure intended for the NFT ecosystem. The company's platform offers to buy, sell, borrow, earn, and custody of NFT, provides objective, safe, and real-time price data to the NFT financial market, provides benefits from sharing economy in the metaverse, and helps discover and invest in the most valuable virtual estate, enabling users with liquidity, leverage, and smart contracts with top-tier teammates.",View company online
459339-85,26 Degree Digital Technology,,25-Jan-2021,1.54,,Early Stage VC,,,Venture Capital,Sinovation Ventures,Privately Held (backing),Financial Software,25-Jan-2021,1.54,Early Stage VC,Zheng Ji,Venture Capital-Backed,2020,"Guangzhou, China",,"Provider of fintech solutions designed for commercial banks. The company develops digital marketing platform, risk management platform, and data platform for credit card and retail credit business, enabling banks to realize revenue growth and business capability upgrades by leveraging big data technologies.",View company online
490343-41,360tf,,19-Jan-2022,1.50,,Seed Round,Seed Round,,Venture Capital,,Privately Held (backing),Financial Software,19-Jan-2022,1.50,Seed Round,Pankaj Mundra,Venture Capital-Backed,2021,"Singapore, Singapore",www.360tf.trade,"Developer of a digital trade finance platform designed to connect banks and corporations from across the globe. The company's scalable cloud-based platform leverages new technology trends to solve pressing problems in trade finance such as the tokenization of trade assets for distribution to untapped non-bank liquidity sources, enabling importers & exporters to connect with partner banks, to seamlessly manage and fulfill their LC Financing requirements.",View company online
491570-02,42 Card Solutions,,28-Dec-2021,,,Early Stage VC,,,Venture Capital,BEENEXT Capital Management,Privately Held (backing),Other Financial Services,28-Dec-2021,,Early Stage VC,Gouri Shrinivas,Venture Capital-Backed,2020,"Bangalore, India",www.42cards.com,"Provider of credit card services intended to serve customers with a complete end-to-end card management system in India. The company offers credit card transactions and its digital experience through mobile services, data, and analytics, enabling customers to take advantage of an entire payment and personal credit ecosystem.",View company online
481372-84,4Fin,,16-Sep-2021,1.10,,Angel (individual),Angel (individual),,Individual,Curesense Therapeutics,Privately Held (backing),Financial Software,16-Sep-2021,1.10,Angel (individual),Amit Tewary,Angel-Backed,2021,"Pune, India",www.4fin.in,"Operator of a fintech platform intended to cater to all the financial needs of customers, primarily focused on loan assistance. The company's platform comes up with an in house loan origination system, loan management system, module for debt services management, AI based algorithms for credit assessment and e-stack for end to end automated processing for loan, enabling customers to get access to affordable loans for the expenses on health, education and electric two-wheelers, among other necessities.",View company online
484546-33,AAG Ventures,,02-Dec-2021,12.50,,Early Stage VC,,,Venture Capital,"Alan Seid, Armando Aguilar, Carmen Feliciano, Chavamon Vinijtrongjit, Christopher Gonsalves, David Wang, Everest Ventures Group, Everyrealm, Fomocraft Ventures, GDP Venture, Genblock Capital, George Chu, Gowtham Gundu, Hashkey Capital, Ken Berger, Kieu Doan, Kosmos Ventures, Muse Builder, Nguyen Tin, Oyster Ventures, Parinya Narkprasert, Portico Ventures, Sancor Capital, Sanctor capital, Sandeep Nailwal, Shima Capital, Slayton capital, Steven Bryson-Haynes, Synergis Capital, Tess Ventures, Tribe Capital, ViaBTC Capital, Willow Li, Yellow Blocks",Privately Held (backing),Entertainment Software,02-Dec-2021,12.50,Early Stage VC,Nelly Sutjiadi,Venture Capital-Backed,2021,"Singapore, Singapore",www.aag.ventures,"Operator of an online play-to-earn platform intended to make gaming space more efficient and secure. The company offers a blockchain-based gameplay platform to gamers, helping them earn tokens and contributing to virtual world games that have cryptocurrency economies",View company online
463331-08,Aavegotchi,,23-Nov-2020,,,Early Stage VC,,,Venture Capital,"Aave, Polybius Capital",Privately Held (backing),Entertainment Software,23-Nov-2020,,Early Stage VC,Jesse Johnson,Venture Capital-Backed,2020,"Singapore, Singapore",www.aavegotchi.com,"Developer of a non-fungible token (NFT) platform intended to help gamers to develop, play, stake, sell and compete with each other. The company's platform lets users create collectible non-fungible tokens where participants have complete ownership of all in-game assets, enabling gamers to enjoy the freedom of true digital ownership and streamline the process of gaming.",View company online
467258-86,Abhi,107.00,07-Jun-2021,2.10,,Seed Round,Series 1,,Venture Capital,"Fatima Gobi Ventures, FJ Labs, Global Ventures (Dubai), i2i Ventures (Pakistan), K3 Diversity Ventures, Mentors Fund, Next Billion Ventures, Portman Wills, Rally Cap Ventures, Sarmayacar, Speedinvest, Sturgeon Capital, TPL e-Ventures, UNIQA Ventures, VEF, VentureSouq, Village Global, Y Combinator, Zayn Capital",Privately Held (backing),Consumer Finance,19-Apr-2022,17.00,Early Stage VC,Omair Ansari,Venture Capital-Backed,2021,"Karachi, Pakistan",www.abhi.com.pk,"Operator of a fintech platform intended to provide salary withdrawals in advance. The company's platform allows salaried employees to access funds before payday through its web or mobile application and provides a limited amount of advance, the repayment and fee of which is automatically deducted from the employee's monthly salary, thereby providing employees with advance salary to meet their financial needs.",View company online
472357-09,AccuWealth,,22-Feb-2021,,,Seed Round,Seed Round,,Venture Capital,DRG FUND,Privately Held (backing),Financial Software,22-Feb-2021,,Seed Round,,Venture Capital-Backed,2020,"Tokyo, Japan",www.accuwealth.jp,"Developer of a research application designed to offer competitive or benchmark company research services for companies. The company's platform provides professional corporate research, IPO / financing and strategic support for new businesses, and investment screening and initial research support, enabling businesses, operating companies, and institutional investors with investment-related decisions.",View company online
439832-44,ACDX,,29-Sep-2020,10.00,,Seed Round,Seed Round,,Venture Capital,"Alpha Sigma Capital, Alves Venture, Chateau Crypto, DeltaHub Capital, Fairum Ventures, Gains Associates, Insignius Capital, Moonrock Capital, Phoenix VC, Spykefast Capital, TDeFi, Vendetta Capital, VYSYN VENTURES",Privately Held (backing),Financial Software,29-Sep-2020,10.00,Seed Round,Jesper Cheng,Venture Capital-Backed,2020,Hong Kong,www.acdx.io,"Developer of a cryptocurrency derivatives trading platform designed to offer the trading of structured products. The company's platform actively cultivates a company culture that is focused on true innovation across a wide range of easy-to-use, fair and transparent trading products, enabling clients to access blockchain products that suit the needs of current and emerging cryptocurrency traders.",View company online
