PORTFOLIO COMPANY ID,COMPANY NAME,REGION,ADDRESS,CITY,STATE,ZIPCODE,COUNTRY,WEBSITE,EMAIL,TEL,FAX,FOUNDED YEAR,PRIMARY INDUSTRY,SUB INDUSTRIES,VERTICALS,COMPANY STAGE,LATEST ROUND DIRECTION,INVESTORS,TOTAL AMOUNT RAISED (USD MN),EBITDA (USD MN),OPERATING INCOME (USD MN),NET INCOME (USD MN),REVENUE (USD MN),% REVENUE GROWTH YOY,% OPERATING MARGIN,% EBTIDA MARGIN,% NET MARGIN,FUNDING ROUNDS/NUMBER OF DEALS,MOST RECENT DEAL TYPE/STAGE,MOST RECENT DEAL DATE,MOST RECENT DEAL SIZE (USD MN),MOST RECENT DEAL SIZE EQUITY (USD MN),MOST RECENT DEAL SIZE DEBT (USD MN),EMPLOYEE COUNT,INVESTED FUNDS (ESTIMATED**),ACTIONABILITY SIGNAL,FUNDING TYPE,OWNERSHIP TYPE,POST-MONEY VALUATION (USD MN - ESTIMATED**),POST-MONEY VALUATION (USD MN)
508932,Swapscanner,Asia, ,,,,South Korea,https://swapscanner.io/ko,contact@swapscanner.io,,,2022,Financial Services,"e-Financial, Accounting/Finance Software, Web Applications","Cryptocurrency, Exchange/Trading Platforms",Series A,,Ground X,,,,,,,,,,1,Series A,15-Sep-2022,,,,,,-,VC-Backed,Private,,
508847,PEAK,Asia,"V628, 17th Floor, Gangnam Building, 396 Seocho-daero, Seocho-dong, Seocho-gu ",Seoul,,,South Korea,www.peakpay.co.kr,hello@peakpay.co.kr,,,2022,Financial Services,"e-Financial, Accounting/Finance Software, HR & Workforce Software, Web Applications","Processing & Payment Infrastructure, Smart-Pay: Physical-Digital Interactions",Angel & Seed,,TheVentures,,,,,,,,,,1,Seed,20-Sep-2022,,,,,,-,VC-Backed,Private,,
508692,Sermorpheus,Asia,"Jalan Taman Jatibaru Barat, Kampung Bali Tanah Abang, Jakarta Pusat, DKI Jakarta",Jakarta,,,Indonesia,www.sermorpheus.com,hello@sermorpheus.com,+62 81228983331,,2022,Software,"Web Applications, e-Financial, Accounting/Finance Software","Blockchain, FinTech, Mobile Apps",Angel & Seed,,"500 Global, Intudo Ventures, AlphaLab Capital, FEBE Ventures, BRI Ventures, Caballeros Capital",2.50,,,,,,,,,1,Seed,16-Sep-2022,2.50,,,,"FEBE Ventures, Sembrani Nusantara, ORZON Ventures, Intudo Istimewa II",-,VC-Backed,Private,,
508681,BanhJi,Asia,"12 EU TONG SEN STREET, #08-169, THE CENTRAL ",,,59819,Singapore,www.banhji.com,emailsupport@banhji.com,+65 085 413 777,,2019,Financial Services,"e-Financial, Accounting/Finance Software","Exchange/Trading Platforms, Online Banking, Processing & Payment Infrastructure, Wealth Management",Angel & Seed,,,0.50,,,,,,,,,1,Seed,07-Sep-2020,0.50,,,,,-,VC-Backed,Private,,1.00
508570,MONDAY DREAM,Asia,"3rd floor, 12 Seolleung-ro 87-gil, Gangnam-gu",Seoul,,,South Korea,,,,,2015,Software,"Web Applications, Accounting/Finance Software, Accounting Services","Mobile Messaging, Processing & Payment Infrastructure",Early Stage,,"Big Bang Angels, Moca Ventures, Nextrans",0.20,,,,,,,,,1,Unspecified Round,25-Apr-2016,0.17,,,,,-,VC-Backed,Private,,
508285,PrivEx,Asia,"176 ORCHARD ROAD, #05-05, THE CENTREPOINT ",,,,Singapore,www.privexgroup.com,sales@privexgroup.com,+65 6012 8820,,2018,Financial Services,"e-Financial, Accounting/Finance Software","Digital Brokerage, Exchange/Trading Platforms, Lending",Angel & Seed,,,1.70,,,,,,,,,1,Seed,16-Dec-2021,1.70,,,,,-,VC-Backed,Private,,19.51
508260,LC Adroit Vantage,Asia,"16 Collyer Quay, #11-02, Income at Raffles ",,,49318,Singapore,www.adroit-vantage.com,,+65 6713 0570,,2021,Financial Services,"Accounting/Finance Software, Financial Services","Paas, Saas, Wealth Management",Angel & Seed,,,0.50,,,,,,,,,1,Seed,14-Jul-2022,0.50,,,,,-,VC-Backed,Private,,6.75
508249,STASH NextGen,Asia,"8 CAIRNHILL RISE, #02-03, ALBA ",,,229743,Singapore,www.stashnextgen.com,info@stashnextgen.com,+65  8220 9072,,2019,Financial Services,"Marketing/Advertising, Financial Services, Sales & Marketing Software",Smart-Pay: Physical-Digital Interactions,Angel & Seed,,,1.10,,,,,,,,,1,Seed,17-Dec-2021,1.10,,,,,-,VC-Backed,Private,,4.79
507908,Leonie Hill Ai,Asia,"1 PHILLIP STREET, #09-00, ROYAL ONE PHILLIP, SINGAPORE ",,,48692,Singapore,www.leoniehill.ai,trading@leoniehill.ai,,,2018,Financial Services,Financial Services,"Cryptocurrency, FinTech",Angel & Seed,,,0.50,,,,,,,,,1,Seed,06-Sep-2022,0.51,,,,,-,VC-Backed,Private,,6.51
507854,ScanPay,Asia,"3 CHURCH STREET, #15-02, SAMSUNG HUB ",,,49483,Singapore,www.scanpay.tech,,,,2021,Financial Services,Financial Services,Smart-Pay: Physical-Digital Interactions,Angel & Seed,,,3.20,,,,,,,,,1,Seed,22-Oct-2021,3.21,,,,,-,VC-Backed,Private,,7.48
507845,RemitAid,Asia,"Kyowa Gobankan 2F 3-3-13 Kitaaoyama, Minato-ku",Tokyo,,107-0061,Japan,https://remitaid.io/,,,,2022,Financial Services,"Accounting/Finance Software, e-Financial","Processing & Payment Infrastructure, Smart-Pay: Physical-Digital Interactions, eWallets & Money Transfer",Angel & Seed,,"Primal Capital, Genesia Ventures",0.40,,,,,,,,,1,Seed,12-Sep-2022,0.42,,,,"Primal Capital II, Genesia Venture Fund III",-,VC-Backed,Private,,
507784,PILABS,Asia,"330, Seongam-ro, Mapo-gu ",Seoul,,,South Korea,www.pilabs.co.kr,contact@pilabs.co.kr,+82 2 6958 6090,+82 2 6958 6089,,Software,"Application Integration Software, Accounting/Finance Software","Cryptocurrency, Digital Brokerage, Exchange/Trading Platforms",Early Stage,,Hashed Ventures,20.90,,,,,,,,,1,Unspecified Round,25-Mar-2022,20.92,,,,Hashed Venture Fund II,-,VC-Backed,Private,,
507653,"SWITHCHWON Co., Ltd.",Asia,"314, Jungang-daero Dong-gu",Busan,,48729,South Korea,www.switchwon.com,info@switchwon.com,+82 2 703 8770,,2021,Financial Services,"e-Financial, Accounting/Finance Software","Blockchain, Exchange/Trading Platforms, Mobile Apps, Processing & Payment Infrastructure",Angel & Seed,,"POSCO Capital, Korea Tech Incubator for Startup, Busan United Holdings, Rising S Ventures",0.90,,,,,,,,,2,Seed,12-May-2022,,,,,Tech Innovation G&G Fund 1,-,VC-Backed,Private,,
507570,Beansprout,Asia,"50 SOUTH BRIDGE ROAD, #06-00, CMO BUILDING ",,,58682,Singapore,www.growbeansprout.com,hello@growbeansprout.com,+65 8022 6120,,2021,Financial Services,"Accounting/Finance Software, Education/Training, Financial Services","Mobile Apps, Wealth Management",Angel & Seed,,,0.40,,,,,,,,,1,Seed,13-Dec-2021,0.37,,,,,-,VC-Backed,Private,,3.87
506859,Salary Hero,Asia,"46 KRONOS Sathorn Office Building (10th floor Zone 1) North, Sathorn Road, Silom, Bang Rak",Bangkok,,10500,Thailand,www.salary-hero.com,contact@salary-hero.com,66982762753,,2021,Financial Services,"Accounting/Finance Software, Internet, e-Financial","Lending, Mobile Apps, Wealth Management",Early Stage,,"500 Global, Global Founders Capital, Titan Capital, 1982 Ventures, M Venture Partners",2.80,,,,,,,,,1,Unspecified Round,17-Mar-2022,2.80,,,,"M Venture Partners, 500 Global SPV I",-,VC-Backed,Private,,
